action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
,left,,,yes,2250,1800,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1950,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,unsatisfied->satisfied,2,RETRACT_MEDIAL_TO_LATERAL,medial,1920,,,,,,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
DISSECT,right,,,,2250,1800,C1,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle.",,1920,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,unsatisfied->satisfied,3,,,1800,near the base of the hepatocystic triangle,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
ICG_SWITCH,other,(not set),,,2250,1800,C1,"The view switches to ICG fluorescence, improving visualization and helping confirm the identity of the biliary structures.",,2200,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,unsatisfied->satisfied,1,,,2070,(not set),(not set),HepatocysticTriangle,(not set),,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
,left,,,no,2250,1950,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C2__avg__c_001950_002250,unsatisfied->satisfied,1,KEEP_RETRACT_LATERAL,lateral,1950,,,,,,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
ICG_SWITCH,other,(not set),,,2250,1950,C2,"An instrument switches to ICG view of the hepatocystic triangle, to improve visualization and help confirm the identity of the biliary structures.",,2190,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,2070,(not set),(not set),HepatocysticTriangle,(not set),,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
,left,,,no,1800,1500,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1800,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1500,,,,,,0f7ff338-1195-4482-b26b-530858de1811
DISSECT,right,,,,1800,1500,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1800,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",0f7ff338-1195-4482-b26b-530858de1811
,left,,,yes,900,450,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,720,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,unsatisfied->satisfied,2,RETRACT_LATERAL,not_retracted,600,,,,,,10784ea7-8272-4b76-86c5-0f90cf74c750
DISSECT,right,,,,900,450,C2,The hook dissects around the cystic plate.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,450,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",10784ea7-8272-4b76-86c5-0f90cf74c750
DISSECT,right,,,,900,450,C2,The hook dissects around the hepatocystic triangle.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,450,(not set),(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",10784ea7-8272-4b76-86c5-0f90cf74c750
,left,,,yes,900,150,C3,The grasper retracts the gallbladder neck from medial to lateral.,lateral,390,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,1,RETRACT_MEDIAL_TO_LATERAL,medial,150,,,,,,10784ea7-8272-4b76-86c5-0f90cf74c750
DISSECT,right,,,,900,150,C3,The hook dissects around the cystic duct.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,2,,,150,(not set),(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",10784ea7-8272-4b76-86c5-0f90cf74c750
DISSECT,right,,,,900,150,C3,The hook dissects around the cystic plate.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,2,,,150,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",10784ea7-8272-4b76-86c5-0f90cf74c750
DISSECT,right,,,,900,150,C3,The hook dissects around the hepatocystic triangle.,,900,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,unsatisfied->satisfied,2,,,150,(not set),(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",10784ea7-8272-4b76-86c5-0f90cf74c750
,left,,,no,2250,1950,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,unsatisfied->satisfied,3,KEEP_RETRACT_LATERAL,lateral,1950,,,,,,10dea02a-5502-4f05-ba3b-191e38fe4b29
DISSECT,right,,,,2250,1950,C2,The hook dissects around the cystic duct.,,2160,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,unsatisfied->satisfied,1,,,1950,(not set),(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",10dea02a-5502-4f05-ba3b-191e38fe4b29
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,2250,1950,C2,The camera zooms out.,,2250,10dea02a-5502-4f05-ba3b-191e38fe4b29__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,2100,,,,,,10dea02a-5502-4f05-ba3b-191e38fe4b29
,left,,,no,300,0,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,300,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,0,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
DISSECT,right,,,,300,0,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,300,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000000_000300,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,no,750,600,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,750,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,600,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
DISSECT,right,,,,750,600,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,750,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,unsatisfied->satisfied,1,,,600,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,HepatocysticTriangle,Maryland,"[""Maryland"", ""DISSECT"", ""HepatocysticTriangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,no,1500,1200,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1200,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
DISSECT,right,,,,1500,1200,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1380,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,unsatisfied->satisfied,1,,,1200,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
DISSECT,right,,,,1500,1200,C2,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle.",,1500,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001200_001500,unsatisfied->satisfied,1,,,1410,near the base of the hepatocystic triangle,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,no,1950,1800,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1950,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1800,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
DISSECT,right,,,,1950,1800,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,1950,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_001800_001950,unsatisfied->satisfied,1,,,1860,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,yes,2100,1800,C3,The grasper retracts the gallbladder neck from lateral to medial.,medial,2070,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,unsatisfied->satisfied,1,RETRACT_LATERAL_TO_MEDIAL,lateral,2040,,,,,,13c28a0c-ff1a-4e46-a9e9-b1b125e01216
DISSECT,right,,,,2100,1800,C3,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle.",,1950,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,unsatisfied->satisfied,2,,,1860,near the base of the hepatocystic triangle,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",13c28a0c-ff1a-4e46-a9e9-b1b125e01216
,left,,,no,1500,1050,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1050,,,,,,144fef8d-eaed-48ac-ba3b-a7a214e95f42
DISSECT,right,,,,1500,1050,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1500,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C1__avg__c_001050_001500,unsatisfied->satisfied,1,,,1050,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",144fef8d-eaed-48ac-ba3b-a7a214e95f42
,left,,,no,1800,1050,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1800,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1050,,,,,,144fef8d-eaed-48ac-ba3b-a7a214e95f42
DISSECT,right,,,,1800,1050,C2,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle, and close to the gallbladder neck.",,1800,144fef8d-eaed-48ac-ba3b-a7a214e95f42__C2__avg__c_001050_001800,unsatisfied->satisfied,1,,,1050,near the base of the hepatocystic triangle,close to the gallbladder neck,HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",144fef8d-eaed-48ac-ba3b-a7a214e95f42
,left,,,yes,1200,750,C1,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,810,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,2,RETRACT_LATERAL,not_retracted,750,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,1200,750,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,780,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,1,,,780,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,1200,750,C1,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,1200,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,1,,,900,between presumed cystic duct and presumed cystic artery,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
ICG_SWITCH,other,(not set),,,1200,750,C1,"An instrument switches to ICG view of the hepatocystic triangle, to improve visualization and help confirm the identity of the biliary structures.",,990,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,unsatisfied->satisfied,3,,,870,(not set),(not set),HepatocysticTriangle,(not set),,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
,left,,,no,2250,1500,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,3,KEEP_RETRACT_LATERAL,lateral,1500,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,2250,1500,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2040,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
CAMERA_NO_CHANGE,camera,,CAMERA_NO_CHANGE,,2250,1500,C1,The camera does not change.,,1950,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,2,,,1500,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,2250,1500,C1,The camera zooms out.,,2250,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,unsatisfied->satisfied,2,,,1950,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,300,0,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,300,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000000_000300,unsatisfied->satisfied,1,,,0,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
,left,,,yes,1200,750,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,810,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,2,RETRACT_LATERAL,not_retracted,750,,,,,,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,1200,750,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,780,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,750,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,1200,750,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,1200,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,930,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
ICG_SWITCH,other,(not set),,,1200,750,C2,The ICG is switched.,,990,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,870,(not set),(not set),(not set),(not set),,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb
DISSECT,right,,,,750,450,C2,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,750,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,unsatisfied->satisfied,1,,,450,between cystic artery and cystic plate,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",16e33e34-9e96-4156-b4ce-7591dcf813da
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,750,450,C2,The camera repositions.,,540,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,450,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,750,450,C2,The camera zooms out.,,750,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_000450_000750,unsatisfied->satisfied,2,,,600,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,no,1650,1200,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1650,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1200,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
DISSECT,right,,,,1650,1200,C2,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1380,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,1,,,1200,between cystic artery and cystic plate,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",16e33e34-9e96-4156-b4ce-7591dcf813da
DISSECT,right,,,,1650,1200,C2,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,1470,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,1,,,1410,between presumed cystic duct and presumed cystic artery,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",16e33e34-9e96-4156-b4ce-7591dcf813da
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,1650,1200,C2,The camera repositions.,,1410,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,unsatisfied->satisfied,3,,,1380,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,yes,2250,1950,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2160,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,unsatisfied->satisfied,2,RETRACT_LATERAL,not_retracted,1950,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
IRRIGATOR_COUNTERTRACTION_ASSIST,right,,,,2250,1950,C2,The irrigator irrigator countertraction assist the gallbladder neck infundibulum.,,2190,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001950_002250,unsatisfied->satisfied,1,,,1950,(not set),(not set),GallbladderNeck_Infundibulum,Irrigator,"[""Irrigator"", ""IRRIGATOR_COUNTERTRACTION_ASSIST"", ""GallbladderNeck_Infundibulum""]",16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,no,900,600,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,900,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,600,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
DISSECT,right,,,,900,600,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,900,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,1,,,600,between cystic artery and cystic plate,(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",16e33e34-9e96-4156-b4ce-7591dcf813da
CAMERA_UNCERTAIN,camera,,CAMERA_UNCERTAIN,,900,600,C3,The camera is uncertain.,,750,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,3,,,600,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
CAMERA_ZOOM_IN,camera,,CAMERA_ZOOM_IN,,900,600,C3,The camera zooms in.,,900,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,unsatisfied->satisfied,3,,,750,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,yes,2250,1950,C3,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2160,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,unsatisfied->satisfied,2,RETRACT_LATERAL,not_retracted,1950,,,,,,16e33e34-9e96-4156-b4ce-7591dcf813da
IRRIGATOR_COUNTERTRACTION_ASSIST,right,,,,2250,1950,C3,The irrigator irrigator countertraction assist the gallbladder neck infundibulum.,,2190,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_001950_002250,unsatisfied->satisfied,1,,,1950,(not set),(not set),GallbladderNeck_Infundibulum,Irrigator,"[""Irrigator"", ""IRRIGATOR_COUNTERTRACTION_ASSIST"", ""GallbladderNeck_Infundibulum""]",16e33e34-9e96-4156-b4ce-7591dcf813da
,left,,,yes,1200,750,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,1,RETRACT_MEDIAL_TO_LATERAL,medial,1020,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
DISSECT,right,,,,1200,750,C1,The hook dissects around the cystic plate.,,1020,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,3,,,750,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
DISSECT,right,,,,1200,750,C1,The hook dissects around the cystic artery.,,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,3,,,1110,(not set),(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,1200,750,C1,The camera repositions.,,900,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,2,,,750,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_UNCERTAIN,camera,,CAMERA_UNCERTAIN,,1200,750,C1,The camera is uncertain.,,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,2,,,900,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,1200,750,C1,The camera zooms out.,,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_000750_001200,unsatisfied->satisfied,2,,,1050,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
DISSECT,right,,,,1950,1500,C1,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,2,,,1500,between cystic artery and cystic plate,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
DISSECT,right,,,,1950,1500,C1,"The hook dissects around the hepatocystic triangle, between cystic artery and cystic plate.",,1770,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,2,,,1710,between cystic artery and cystic plate,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,1950,1500,C1,The camera zooms out.,,1650,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,1,,,1500,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,1950,1500,C1,The camera repositions.,,1800,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,1,,,1650,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,1950,1500,C1,The camera zooms out.,,1950,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C1__avg__c_001500_001950,unsatisfied->satisfied,1,,,1800,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
,left,,,yes,1200,750,C2,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,2,RETRACT_MEDIAL_TO_LATERAL,medial,1020,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
DISSECT,right,,,,1200,750,C2,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,960,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,750,between cystic artery and cystic plate,(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
DISSECT,right,,,,1200,750,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1200,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,1,,,1110,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,1200,750,C2,The camera repositions.,,900,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,750,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
CAMERA_UNCERTAIN,camera,,CAMERA_UNCERTAIN,,1200,750,C2,The camera is uncertain.,,1050,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C2__avg__c_000750_001200,unsatisfied->satisfied,3,,,900,,,,,,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1
