clip_id,video_name,criterion,granularity,start,mid,end,coarse_clip_id,stratum,country,country_collapsed,ioc,icg,robotic,device,weight
c8063d76-af4f-44da-afc6-12bcf8947595__C1__avg__c_001500_001800,c8063d76-af4f-44da-afc6-12bcf8947595,C1,coarse,1500,1650.0,1800,,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_001500_001800,c8063d76-af4f-44da-afc6-12bcf8947595,C2,coarse,1500,1650.0,1800,,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C1__avg__f_001650_001800,c8063d76-af4f-44da-afc6-12bcf8947595,C1,fine,1650,,1800,c8063d76-af4f-44da-afc6-12bcf8947595__C1__avg__c_001500_001800,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__f_001650_001800,c8063d76-af4f-44da-afc6-12bcf8947595,C2,fine,1650,,1800,c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_001500_001800,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C1__avg__c_002100_002250,c8063d76-af4f-44da-afc6-12bcf8947595,C1,coarse,2100,2250.0,2250,,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C1__avg__f_002100_002250,c8063d76-af4f-44da-afc6-12bcf8947595,C1,fine,2100,,2250,c8063d76-af4f-44da-afc6-12bcf8947595__C1__avg__c_002100_002250,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_002100_002250,c8063d76-af4f-44da-afc6-12bcf8947595,C2,coarse,2100,2250.0,2250,,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__f_002100_002250,c8063d76-af4f-44da-afc6-12bcf8947595,C2,fine,2100,,2250,c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_002100_002250,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
d0465797-0527-4148-ad6f-0aa537d03068__C1__avg__c_001650_002100,d0465797-0527-4148-ad6f-0aa537d03068,C1,coarse,1650,1950.0,2100,,"(1,0,0)",6,6,1,0,0,-1,1.0
d0465797-0527-4148-ad6f-0aa537d03068__C1__avg__f_001950_002100,d0465797-0527-4148-ad6f-0aa537d03068,C1,fine,1950,,2100,d0465797-0527-4148-ad6f-0aa537d03068__C1__avg__c_001650_002100,"(1,0,0)",6,6,1,0,0,-1,1.0
db46924b-a5a3-4645-9868-0860f2c4618f__C3__avg__c_001050_001500,db46924b-a5a3-4645-9868-0860f2c4618f,C3,coarse,1050,1350.0,1500,,"(0,0,1)",2,other,0,1,0,2,3.0
db46924b-a5a3-4645-9868-0860f2c4618f__C3__avg__f_001350_001500,db46924b-a5a3-4645-9868-0860f2c4618f,C3,fine,1350,,1500,db46924b-a5a3-4645-9868-0860f2c4618f__C3__avg__c_001050_001500,"(0,0,1)",2,other,0,1,0,2,3.0
db82e0f9-e6a8-42d7-a890-91293264caba__C1__avg__c_001350_001800,db82e0f9-e6a8-42d7-a890-91293264caba,C1,coarse,1350,1650.0,1800,,"(1,1,0)",6,6,0,0,0,0,3.5
db82e0f9-e6a8-42d7-a890-91293264caba__C2__avg__c_001350_001800,db82e0f9-e6a8-42d7-a890-91293264caba,C2,coarse,1350,1650.0,1800,,"(1,1,0)",6,6,0,0,0,0,3.5
db82e0f9-e6a8-42d7-a890-91293264caba__C1__avg__f_001500_001650,db82e0f9-e6a8-42d7-a890-91293264caba,C1,fine,1500,,1650,db82e0f9-e6a8-42d7-a890-91293264caba__C1__avg__c_001350_001800,"(1,1,0)",6,6,0,0,0,0,3.5
db82e0f9-e6a8-42d7-a890-91293264caba__C2__avg__f_001500_001650,db82e0f9-e6a8-42d7-a890-91293264caba,C2,fine,1500,,1650,db82e0f9-e6a8-42d7-a890-91293264caba__C2__avg__c_001350_001800,"(1,1,0)",6,6,0,0,0,0,3.5
e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__c_001200_001500,e52b7faf-d644-4f8e-8de2-862b1377a05b,C2,coarse,1200,1350.0,1500,,"(0,1,0)",5,other,1,0,0,1,4.0
e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__f_001350_001500,e52b7faf-d644-4f8e-8de2-862b1377a05b,C2,fine,1350,,1500,e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__c_001200_001500,"(0,1,0)",5,other,1,0,0,1,4.0
e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__f_001800_001950,e52b7faf-d644-4f8e-8de2-862b1377a05b,C2,fine,1800,,1950,e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__c_001800_002100,"(0,1,0)",5,other,1,0,0,1,4.0
e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__c_001800_002100,e52b7faf-d644-4f8e-8de2-862b1377a05b,C2,coarse,1800,1950.0,2100,,"(0,1,0)",5,other,1,0,0,1,4.0
f1c2ac2c-b2e5-42b8-90b4-6be479a16e64__C2__avg__c_001050_001350,f1c2ac2c-b2e5-42b8-90b4-6be479a16e64,C2,coarse,1050,1200.0,1350,,"(0,1,0)",18,other,0,0,0,-1,4.0
f1c2ac2c-b2e5-42b8-90b4-6be479a16e64__C2__avg__f_001200_001350,f1c2ac2c-b2e5-42b8-90b4-6be479a16e64,C2,fine,1200,,1350,f1c2ac2c-b2e5-42b8-90b4-6be479a16e64__C2__avg__c_001050_001350,"(0,1,0)",18,other,0,0,0,-1,4.0
f53b95da-6f06-4d00-a986-e7a3d8525666__C3__avg__c_000450_001050,f53b95da-6f06-4d00-a986-e7a3d8525666,C3,coarse,450,750.0,1050,,"(0,1,1)",21,other,0,0,0,2,4.5
f53b95da-6f06-4d00-a986-e7a3d8525666__C2__avg__c_000450_001200,f53b95da-6f06-4d00-a986-e7a3d8525666,C2,coarse,450,900.0,1200,,"(0,1,1)",21,other,0,0,0,2,4.5
f53b95da-6f06-4d00-a986-e7a3d8525666__C2__avg__f_000750_000900,f53b95da-6f06-4d00-a986-e7a3d8525666,C2,fine,750,,900,f53b95da-6f06-4d00-a986-e7a3d8525666__C2__avg__c_000450_001200,"(0,1,1)",21,other,0,0,0,2,4.5
f53b95da-6f06-4d00-a986-e7a3d8525666__C3__avg__f_000750_000900,f53b95da-6f06-4d00-a986-e7a3d8525666,C3,fine,750,,900,f53b95da-6f06-4d00-a986-e7a3d8525666__C3__avg__c_000450_001050,"(0,1,1)",21,other,0,0,0,2,4.5
f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__c_001050_001650,f6034371-097d-4728-8e3a-4e6f1b08aba7,C2,coarse,1050,1350.0,1650,,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__c_001050_001950,f6034371-097d-4728-8e3a-4e6f1b08aba7,C3,coarse,1050,1500.0,1950,,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__f_001200_001350,f6034371-097d-4728-8e3a-4e6f1b08aba7,C2,fine,1200,,1350,f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__c_001050_001650,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__f_001200_001350,f6034371-097d-4728-8e3a-4e6f1b08aba7,C3,fine,1200,,1350,f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__c_001050_001950,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__f_001500_001650,f6034371-097d-4728-8e3a-4e6f1b08aba7,C2,fine,1500,,1650,f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__c_001050_001650,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__f_001500_001650,f6034371-097d-4728-8e3a-4e6f1b08aba7,C3,fine,1500,,1650,f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__c_001050_001950,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__f_001800_001950,f6034371-097d-4728-8e3a-4e6f1b08aba7,C3,fine,1800,,1950,f6034371-097d-4728-8e3a-4e6f1b08aba7__C3__avg__c_001050_001950,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C1__avg__c_001950_002100,f6034371-097d-4728-8e3a-4e6f1b08aba7,C1,coarse,1950,2100.0,2100,,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C1__avg__f_001950_002100,f6034371-097d-4728-8e3a-4e6f1b08aba7,C1,fine,1950,,2100,f6034371-097d-4728-8e3a-4e6f1b08aba7__C1__avg__c_001950_002100,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__f_001950_002100,f6034371-097d-4728-8e3a-4e6f1b08aba7,C2,fine,1950,,2100,f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__c_001950_002250,"(1,1,1)",6,6,0,0,0,0,5.0
f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__c_001950_002250,f6034371-097d-4728-8e3a-4e6f1b08aba7,C2,coarse,1950,2100.0,2250,,"(1,1,1)",6,6,0,0,0,0,5.0
f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05__C2__avg__c_000000_000450,f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05,C2,coarse,0,300.0,450,,"(0,1,0)",0,0,0,0,1,3,12.0
f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05__C2__avg__f_000150_000300,f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05,C2,fine,150,,300,f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05__C2__avg__c_000000_000450,"(0,1,0)",0,0,0,0,1,3,12.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_000000_000600,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,coarse,0,300.0,600,,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__f_000450_000600,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,fine,450,,600,f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_000000_000600,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_000750_001200,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,coarse,750,1050.0,1200,,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__f_000900_001050,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,fine,900,,1050,f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_000750_001200,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C1__avg__c_001500_001800,f68bc1bd-da70-4b1b-b849-c954e644c209,C1,coarse,1500,1650.0,1800,,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C1__avg__f_001650_001800,f68bc1bd-da70-4b1b-b849-c954e644c209,C1,fine,1650,,1800,f68bc1bd-da70-4b1b-b849-c954e644c209__C1__avg__c_001500_001800,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_002100_002250,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,coarse,2100,2250.0,2250,,"(1,0,1)",20,other,0,0,0,2,1.0
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__f_002100_002250,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,fine,2100,,2250,f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_002100_002250,"(1,0,1)",20,other,0,0,0,2,1.0
f91a3164-e804-4646-bb46-1978c5bf22f1__C3__avg__f_001500_001650,f91a3164-e804-4646-bb46-1978c5bf22f1,C3,fine,1500,,1650,f91a3164-e804-4646-bb46-1978c5bf22f1__C3__avg__c_001500_001800,"(0,0,1)",6,6,1,0,0,-1,2.0
f91a3164-e804-4646-bb46-1978c5bf22f1__C3__avg__c_001500_001800,f91a3164-e804-4646-bb46-1978c5bf22f1,C3,coarse,1500,1650.0,1800,,"(0,0,1)",6,6,1,0,0,-1,2.0
fa086544-745e-49b3-8bcc-9f0b210a8eba__C2__avg__c_000450_001050,fa086544-745e-49b3-8bcc-9f0b210a8eba,C2,coarse,450,750.0,1050,,"(0,1,1)",0,0,0,1,1,3,4.0
fa086544-745e-49b3-8bcc-9f0b210a8eba__C3__avg__c_000750_001050,fa086544-745e-49b3-8bcc-9f0b210a8eba,C3,coarse,750,900.0,1050,,"(0,1,1)",0,0,0,1,1,3,4.0
fa086544-745e-49b3-8bcc-9f0b210a8eba__C2__avg__f_000900_001050,fa086544-745e-49b3-8bcc-9f0b210a8eba,C2,fine,900,,1050,fa086544-745e-49b3-8bcc-9f0b210a8eba__C2__avg__c_000450_001050,"(0,1,1)",0,0,0,1,1,3,4.0
fa086544-745e-49b3-8bcc-9f0b210a8eba__C3__avg__f_000900_001050,fa086544-745e-49b3-8bcc-9f0b210a8eba,C3,fine,900,,1050,fa086544-745e-49b3-8bcc-9f0b210a8eba__C3__avg__c_000750_001050,"(0,1,1)",0,0,0,1,1,3,4.0
fae51550-4492-4c92-9454-cd754ec749f8__C1__avg__c_001950_002250,fae51550-4492-4c92-9454-cd754ec749f8,C1,coarse,1950,2100.0,2250,,"(1,0,0)",0,0,0,0,0,0,1.0
fae51550-4492-4c92-9454-cd754ec749f8__C1__avg__f_002100_002250,fae51550-4492-4c92-9454-cd754ec749f8,C1,fine,2100,,2250,fae51550-4492-4c92-9454-cd754ec749f8__C1__avg__c_001950_002250,"(1,0,0)",0,0,0,0,0,0,1.0
nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C3__avg__c_001650_002100,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga,C3,coarse,1650,1950.0,2100,,"(0,1,1)",23,other,0,0,1,-1,4.5
nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C2__avg__c_001650_002400,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga,C2,coarse,1650,2100.0,2400,,"(0,1,1)",23,other,0,0,1,-1,4.5
nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C2__avg__f_001800_001950,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga,C2,fine,1800,,1950,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C2__avg__c_001650_002400,"(0,1,1)",23,other,0,0,1,-1,4.5
nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C3__avg__f_001800_001950,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga,C3,fine,1800,,1950,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C3__avg__c_001650_002100,"(0,1,1)",23,other,0,0,1,-1,4.5
nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C2__avg__f_002100_002250,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga,C2,fine,2100,,2250,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C2__avg__c_001650_002400,"(0,1,1)",23,other,0,0,1,-1,4.5
